,estacion,link,localidad,temp_C,razon_lluvia,HR,vel_viento,racha_viento,acum_calc,letra_dir,REGIÓN_2,MPO_2,REF
123,IVILLA1678,https://www.wunderground.com/dashboard/pws/IVILLA1678,"Villa Hidalgo, MX",21.77777777777778,0.0,29,0.0,0.0,0.0,ENE,ALTOS NORTE,Villa Hidalgo,Los Garcia
124,IPORTE154,https://www.wunderground.com/dashboard/pws/IPORTE154,"Portezuelo, MX",23.5,0.0,32,4.6661,11.906600000000001,0.0,ESE,CIENEGA,La Barca,Portezuelo
125,IPONCI3,https://www.wunderground.com/dashboard/pws/IPONCI3,"Poncitlán, MX",22.22222222222222,0.0,27,4.0225,9.654,0.0,NNE,CIENEGA,Poncitlán,Calle Zaragoza
126,ISANAN110,https://www.wunderground.com/dashboard/pws/ISANAN110,"San Antonio Tlayacapan, MX",23.61111111111111,0.0,30,5.4706,7.2405,0.0,SW,SURESTE,Chapala,San Antonio Tlayacapan
127,ISANAN119,https://www.wunderground.com/dashboard/pws/ISANAN119,"San Antonio Tlayacapan, MX",24.499999999999996,0.0,33,1.4481,2.5744000000000002,0.0,WSW,SURESTE,Chapala,San Antonio Tlayacapan
128,IZAPOT7,https://www.wunderground.com/dashboard/pws/IZAPOT7,"Zapotitán de Hidalgo, MX",23.000000000000004,0.0,28,7.5623000000000005,17.8599,0.0,ENE,SURESTE,Jocotepec,Zapotitán de Hidalgo
129,ISANLU93,https://www.wunderground.com/dashboard/pws/ISANLU93,"San Luis Soyatlán, MX",21.27777777777778,0.0,40,9.3322,19.6298,0.0,NE,SURESTE,Chapala,San Luis Soyatlán
130,ITLAJO9,https://www.wunderground.com/dashboard/pws/ITLAJO9,"Tlajomulco de Zúñiga, MX",19.72222222222222,0.0,35,7.2405,9.3322,0.0,NE,CENTRO,Tlajomulco de Zúñiga,Santa Anita
131,IPUERT188,https://www.wunderground.com/dashboard/pws/IPUERT188,"Puerto Vallarta, MX",24.111111111111114,0.0,76,2.8962,5.4706,0.0,NNW,SIERRA COSTA-OCCIDEN,Puerto Vallarta,Playa los muertos
132,ILAHUE18,https://www.wunderground.com/dashboard/pws/ILAHUE18,"La Huerta, MX",24.72222222222222,0.0,72,1.4481,1.7699,0.0,ESE,COSTA SUR,La Huerta,La Manzanilla
